Latitude,Longitude,tab
43.230618,-75.439366,Mcdonalds
33.499221,-86.907425,Mcdonalds
40.21255542,-76.87871933,Mcdonalds
40.192438,-74.715532,Mcdonalds
30.160942,-85.660335,Mcdonalds
32.481896,-84.941256,Mcdonalds
41.268229,-95.946902,Mcdonalds
47.667992,-122.373374,Mcdonalds
33.79782,-117.835783,Mcdonalds
32.487629,-93.705651,Mcdonalds
40.912568,-74.034958,Mcdonalds
37.060861,-94.514424,Mcdonalds
42.579241,-71.774543,Mcdonalds
41.47237,-81.622595,Mcdonalds
26.7448,-80.056589,Mcdonalds
40.572935,-85.675845,Mcdonalds
41.677027,-71.162591,Mcdonalds
47.466678,-122.288048,Mcdonalds
43.1043,-89.3413,Mcdonalds
40.695089,-89.622798,Mcdonalds
33.832416,-118.159885,Mcdonalds
41.627651,-93.69792,Mcdonalds
27.960723,-82.760673,Mcdonalds
33.817515,-117.968126,Mcdonalds
34.233648,-118.437395,Mcdonalds
42.501287,-82.934169,Mcdonalds
42.525116,-82.896994,Mcdonalds
41.70579,-87.701265,Mcdonalds
38.472463,-82.627334,Mcdonalds
42.981227,-87.947256,Mcdonalds
41.68069,-86.250378,Mcdonalds
30.0064228,-90.2393939,Mcdonalds
28.023217,-81.73296,Mcdonalds
42.664358,-71.145134,Mcdonalds
45.546681,-122.57864,Mcdonalds
41.519781,-81.517876,Mcdonalds
33.989087,-80.973624,Mcdonalds
40.94053,-73.74058,Mcdonalds
44.97999,-93.234312,Mcdonalds
39.935303,-91.3652,Mcdonalds
33.818115,-117.908129,Mcdonalds
39.07561,-76.548452,Mcdonalds
37.332203,-121.885609,Mcdonalds
33.976641,-81.07562,Mcdonalds
34.187989,-118.31866,Mcdonalds
39.186762,-76.613264,Mcdonalds
30.504576,-91.151259,Mcdonalds
34.589261,-86.980219,Mcdonalds
45.050464,-93.361128,Mcdonalds
39.771001,-94.803461,Mcdonalds
33.837399,-118.36708,Mcdonalds
41.029342,-81.492761,Mcdonalds
39.059457,-77.050304,Mcdonalds
38.87302,-76.928806,Mcdonalds
34.020353,-118.120526,Mcdonalds
35.260638,-81.208475,Mcdonalds
41.486275,-81.824681,Mcdonalds
42.283237,-71.113759,Mcdonalds
42.741052,-84.605155,Mcdonalds
34.708576,-86.590303,Mcdonalds
34.228303,-118.499763,Mcdonalds
33.9622,-83.396,Mcdonalds
45.050261,-93.013695,Mcdonalds
40.050558,-75.009998,Mcdonalds
33.474721,-81.986403,Mcdonalds
33.938513,-117.937544,Mcdonalds
40.035934,-82.963119,Mcdonalds
