fips_code,value
13177,"10,808"
13179,"37,183"
13181,"2,586"
13183,"4,868"
13185,"46,573"
13187,"10,420"
13189,"7,879"
13191,"4,071"
13193,"4,153"
13195,"8,359"
13197,"2,903"
13199,"7,661"
13201,"1,944"
13205,"8,622"
13207,"7,144"
13209,"3,303"
13211,"5,876"
13213,"14,465"
13215,"90,085"
13217,"28,514"
13219,"11,870"
13221,"3,975"
13223,"39,348"
13225,"9,736"
13227,"9,316"
13229,"5,480"
13231,"5,426"
13233,"15,030"
13235,"3,671"
13237,"7,374"
13239,915
13241,"5,715"
13243,"2,605"
13245,"91,457"
13247,"31,438"
13249,"1,441"
13251,"5,009"
13253,"3,416"
13255,"25,225"
13257,"9,854"
13259,"1,689"
13261,"12,897"
13263,"1,722"
13265,529
13267,"10,609"
13269,"2,705"
13271,"2,958"
13273,"3,824"
13275,"17,442"
13277,"16,294"
13279,"9,935"
13281,"3,908"
13283,"2,194"
13285,"25,588"
13287,"3,181"
13289,"2,840"
13291,"7,051"
13293,"9,588"
13295,"21,934"
13297,"27,649"
13299,"15,629"
13301,"1,963"
13303,"7,227"
13305,"11,634"
13307,682
13309,"2,458"
13311,"9,089"
13313,"36,657"
13315,"3,094"
13317,"3,324"
13319,"3,014"
13321,"7,164"
15001,"59,139"
15003,"358,022"
15005,14
15007,"20,420"
15009,"52,950"
16001,"156,412"
16003,"1,324"
16005,"35,140"
16007,"2,147"
16009,"3,322"
16011,"14,519"
16013,"9,351"
16015,"3,056"
16017,"15,219"
16019,"35,631"
16021,"3,894"
16023,992
16025,447
16027,"65,366"
16029,"2,370"
16031,"8,236"
16033,425
16035,"3,393"
16037,"1,681"
16039,"18,358"
16041,"4,186"
16043,"3,838"
16045,"6,256"
16047,"6,523"
16049,"6,077"
16051,"6,788"
16053,"7,728"
16055,"53,883"
16057,"19,499"
16059,"2,968"
16061,"1,183"
16063,"1,652"
16065,"15,426"
16067,"6,867"
16069,"16,010"
16071,"1,281"
16073,"4,780"
16075,"9,259"
16077,"2,691"
16079,"5,806"
16081,"2,628"
16083,"28,868"
16085,"3,129"
16087,"4,336"
17001,"26,229"
,
,
,
,
,
,
,
,
,
,
