uk_council,value,tooltip,,,,
Forest of Dean District Council,81900,"Forest of Dean District Council - 82,000",,,,
Fylde Borough Council,76500,"Fylde Borough Council - 77,000",,,,
Gateshead Metropolitan Borough Council,190600,"Gateshead Metropolitan Borough Council - 191,000",,,,
Gedling Borough Council,112100,"Gedling Borough Council - 112,000",,,,
Gloucester City Council,115300,"Gloucester City Council - 115,000",,,,
Gloucestershire County Council,n,,,,,
Gosport Borough Council,80000,"Gosport Borough Council - 80,000",,,,
Gravesham Borough Council,98000,"Gravesham Borough Council - 98,000",,,,
Great Yarmouth Borough Council,94400,"Great Yarmouth Borough Council - 94,000",,,,
Greater London Authority,n,,,,,
Guildford Borough Council,135700,"Guildford Borough Council - 136,000",,,,
Gwynedd Council,118200,"Gwynedd Council - 118,000",,,,
Halton Borough Council,119800,"Halton Borough Council - 120,000",,,,
Hambleton,87100,"Hambleton - 87,000",,,,
Hampshire County Council,n,,,,,
Harborough District Council,82800,"Harborough District Council - 83,000",,,,
Harlow Council,79000,"Harlow Council - 79,000",,,,
Harrogate Borough Council,160500,"Harrogate Borough Council - 161,000",,,,
Hart District Council,90600,"Hart District Council - 91,000",,,,
Hartlepool Borough Council,91700,"Hartlepool Borough Council - 92,000",,,,
Hastings Borough Council,86400,"Hastings Borough Council - 86,000",,,,
Havant District Council,117600,"Havant District Council - 118,000",,,,
Herefordshire Council,179300,"Herefordshire Council - 179,000",,,,
Hertfordshire County Council,1078400,"Hertfordshire County Council - 1,078,000",,,,
Hertsmere Borough Council,98700,"Hertsmere Borough Council - 99,000",,,,
High Peak Borough,93200,"High Peak Borough - 93,000",,,,
Highland Council,219400,"Highland Council - 219,000",,,,
Hinckley and Bosworth District Council,105200,"Hinckley and Bosworth District Council - 105,000",,,,
Horsham District Council,130699,"Horsham District Council - 131,000",,,,
Hull City Council,258700,"Hull City Council - 259,000",,,,
Huntingdonshire District Council,168900,"Huntingdonshire District Council - 169,000",,,,
Hyndburn Borough Council,81600,"Hyndburn Borough Council - 82,000",,,,
Inverclyde Council,80800,"Inverclyde Council - 81,000",,,,
Ipswich Borough Council,122300,"Ipswich Borough Council - 122,000",,,,
Isle of Anglesey Council,69000,"Isle of Anglesey Council - 69,000",,,,
Isle of Wight Council,140200,"Isle of Wight Council - 140,000",,,,
Kent County Council,1401700,"Kent County Council - 1,402,000",,,,
Kettering Borough Council,90700,"Kettering Borough Council - 91,000",,,,
King's Lynn and West Norfolk Borough Council,144800,"King's Lynn and West Norfolk Borough Council - 145,000",,,,
Kirklees Metropolitan Borough Council,403900,"Kirklees Metropolitan Borough Council - 404,000",,,,
Knowsley Metropolitan Borough,150800,"Knowsley Metropolitan Borough - 151,000",,,,
Lancashire County Council,n,,,,,
Lancaster City Council,143700,"Lancaster City Council - 144,000",,,,
Larne Borough Council,31300,"Larne Borough Council - 31,000",,,,
Leeds City Council,770800,"Leeds City Council - 771,000",,,,
Leicester City Council,294700,"Leicester City Council - 295,000",,,,
Leicestershire County Council,n,,,,,
Lewes District Council,95200,"Lewes District Council - 95,000",,,,
Lichfield District Council,97900,"Lichfield District Council - 98,000",,,,
Limavady Borough Council,34100,"Limavady Borough Council - 34,000",,,,
Lincoln City Council,88400,"Lincoln City Council - 88,000",,,,
Lincolnshire County Council,697900,"Lincolnshire County Council - 698,000",,,,
Lisburn City Council,114800,"Lisburn City Council - 115,000",,,,
Liverpool City Council,434900,"Liverpool City Council - 435,000",,,,
London Borough of Barking and Dagenham,168900,"London Borough of Barking and Dagenham - 169,000",,,,
London Borough of Barnet,331500,"London Borough of Barnet - 332,000",,,,
London Borough of Bexley,223300,"London Borough of Bexley - 223,000",,,,
London Borough of Brent,270600,"London Borough of Brent - 271,000",,,,
