latitude,longitude,price,square feet,value
40.053873,-105.251739,692000,3752,184.434968017058
40.050036,-105.265559,679500,2045,332.273838630807
40.01896,-105.146048,620000,3668,169.029443838604
40.018116,-105.273681,565000,1316,429.331306990881
40.03417,-105.286403,467500,2468,189.424635332253
39.976586,-105.239143,415500,2300,180.652173913043
39.993184,-105.257353,330000,1512,218.253968253968
40.037676,-105.26088,300000,1138,263.620386643234
39.976412,-105.26366,293000,1585,184.858044164038
39.966601,-105.252021,287500,1064,270.206766917293
40.010237,-105.352626,260000,2226,116.801437556155
40.007199,-105.257085,210000,624,336.538461538462
40.04009,-105.258296,185000,888,208.333333333333
40.019196,-105.263066,179000,682,262.463343108504
40.010801,-105.277214,165000,445,370.786516853933
40.003719,-105.257815,163000,1216,134.046052631579
40.06679,-105.180191,159000,1184,134.290540540541
40.037356,-105.262514,155150,748,207.419786096257
40.041593,-105.2496,154200,1069,144.246959775491
40.027029,-105.287936,737500,2112,349.195075757576
40.046048,-105.2732,575000,2046,281.036168132942
39.986218,-105.170703,500000,3862,129.466597617815
40.01295,-105.293352,460000,1332,345.345345345345
39.987934,-105.249081,449500,2304,195.095486111111
39.976779,-105.240307,431500,1852,232.991360691145
40.007199,-105.25742,370000,1280,289.0625
40.004688,-105.247404,335000,924,362.554112554113
40.031644,-105.26038,293000,1962,149.337410805301
40.007199,-105.25675,235000,792,296.717171717172
39.99752,-105.229329,199000,1152,172.743055555556
40.042798,-105.259156,128000,592,216.216216216216
40.024955,-105.261282,532000,2080,255.769230769231
40.000114,-105.221682,487000,3570,136.414565826331
39.989792,-105.246993,400000,1402,285.306704707561
40.048479,-105.249499,668000,3573,186.957738595018
39.978351,-105.245163,463000,2548,181.71114599686
40.043683,-105.277676,343000,986,347.870182555781
40.010767,-105.262966,123000,762,161.417322834646
39.985881,-105.258569,675000,2358,286.259541984733
40.025519,-105.273579,375000,1544,242.875647668394
40.02675,-105.281906,344609,821,419.74299634592
40.057113,-105.204095,275000,1500,183.333333333333
40.017352,-105.265739,203000,1059,191.690273843248
40.031976,-105.286776,1460000,4889,298.629576600532
40.011914,-105.227931,714000,4725,151.111111111111
40.035315,-105.262547,560000,2756,203.193033381713
40.010289,-105.238357,530000,3057,173.372587504089
40.035081,-105.263213,504000,1731,291.161178509532
40.020599,-105.271984,467000,1251,373.30135891287
40.02675,-105.281906,404000,792,510.10101010101
39.980076,-105.239296,372000,1642,226.552984165652
39.996865,-105.256474,360000,1584,227.272727272727
40.051023,-105.220856,351452,2193,160.260829913361
40.066082,-105.185401,325000,3272,99.3276283618582
40.031044,-105.262608,315000,1570,200.636942675159
40.066136,-105.183653,315000,2875,109.565217391304
40.126436,-105.295384,315000,2596,121.340523882897
40.006539,-105.223544,265000,1494,177.376171352075
40.067815,-105.179127,168000,965,174.093264248705
40.010767,-105.262966,165000,1053,156.695156695157
40.010311,-105.253724,160000,754,212.201591511936
40.017201,-105.27114,149900,645,232.403100775194
40.060511,-105.275635,132959,620,214.45
40.059169,-105.214919,127500,669,190.582959641256
40.011174,-105.284012,949000,2778,341.612670986321
40.002473,-105.28425,725000,2670,271.535580524345
40.021779,-105.284602,628000,1381,454.742939898624
40.076013,-105.199466,455000,3414,133.27475102519
39.966335,-105.254758,280000,1064,263.157894736842
40.059476,-105.208189,218500,1382,158.104196816208
39.986666,-105.229222,210300,948,221.835443037975
40.05989,-105.134936,2100000,8245,254.699818071559
39.988431,-105.181019,755000,3994,189.033550325488
40.031121,-105.254015,297000,2197,135.184342284934
40.04009,-105.258296,175000,880,198.863636363636
40.039024,-105.258569,171000,830,206.024096385542
40.041454,-105.252074,161732,1069,151.292797006548
40.039088,-105.283415,1300000,3918,331.801939765186
40.039074,-105.279796,685000,3111,220.18643522983
40.044871,-105.278113,612000,1946,314.491264131552
40.03334,-105.274754,601000,1713,350.846468184472
40.065931,-105.185447,589900,3589,164.36333240457
40.001919,-105.23647,442000,1648,268.203883495146
