value,address
   5,"186 SPEEDWELL AVE MORRISTOWN TOWN, NJ"
   2,"186 SPEEDWELL LOT MORRISTOWN TOWN, NJ"
   1,"188 FRANKLIN ST and FRANKLIN ST. MORRISTOWN TOWN, NJ"
   6,"188 SOUTH ST MORRISTOWN TOWN, NJ"
   2,"19 D SOUTH ST MORRISTOWN TOWN, NJ"
   2,"191 SOUTH ST (PROPERTY) MORRISTOWN TOWN, NJ"
   2,"191 SOUTH ST and KINGS PARKING LOT MORRISTOWN TOWN, NJ"
  49,"191 SOUTH ST MORRISTOWN TOWN, NJ"
   2,"191 SOUTH STREET KINGS PARKING LOT MORRISTOWN TOWN, NJ"
   6,"191 SOUTH STREET MORRISTOWN TOWN, NJ"
   1,"2 DOGWOOD RD MORRISTOWN TOWN, NJ"
   2,"2 LACKAWANNA PL MORRISTOWN TOWN, NJ"
   2,"2 MNT KEMBLE AVE and MACCULLOCH AVE MORRISTOWN TOWN, NJ"
   7,"200 SOUTH ST MORRISTOWN TOWN, NJ"
   1,"201 SPEEDWELL AVE MORRISTOWN TOWN, NJ"
   1,"21 PINE ST MORRISTOWN TOWN, NJ"
   2,"21 SOUTH ST MORRISTOWN TOWN, NJ"
   2,"211 SOUTH STREET MORRISTOWN TOWN, NJ"
   2,"212 SPEEDWELL AVE MORRISTOWN TOWN, NJ"
   4,"213 SOUTH ST MORRISTOWN TOWN, NJ"
   2,"213 SOUTH STREET MORRISTOWN TOWN, NJ"
   2,"217 SOUTH ST MORRISTOWN TOWN, NJ"
   2,"225 SOUTH ST MORRISTOWN TOWN, NJ"
   2,"23 EARLY ST MORRISTOWN TOWN, NJ"
   1,"245 WILLOW ST MORRISTOWN TOWN, NJ"
   2,"25 CATTAND AVE MORRISTOWN TOWN, NJ"
   2,"25 CATTANO AVE LVL 2 MORRISTOWN TOWN, NJ"
   4,"25 CATTANO AVE MORRISTOWN TOWN, NJ"
   2,"25 CATTANO AVE PARKING GARAGE MORRISTOWN TOWN, NJ"
   2,"25 GEORGE ST LOT and LINCOLN ST MORRISTOWN TOWN, NJ"
   4,"25 GEORGE ST MORRISTOWN TOWN, NJ"
   2,"257 SPEEDWELL AVE MORRISTOWN TOWN, NJ"
   2,"26 COBB PL MORRISTOWN TOWN, NJ"
   1,"27 LINDEN ST MORRISTOWN TOWN, NJ"
   1,"28 FRANKLIN PL MORRISTOWN TOWN, NJ"
   4,"29 ANN ST MORRISTOWN TOWN, NJ"
   2,"29 ANN ST PARKING LOT MORRISTOWN TOWN, NJ"
   1,"29 ANNE ST MORRISTOWN TOWN, NJ"
   2,"3 EARLY STREET MORRISTOWN TOWN, NJ"
   1,"3 MILTON PL MORRISTOWN TOWN, NJ"
   2,"3 PINE ST MORRISTOWN TOWN, NJ"
   2,"3 SPEEDWELL AVE MORRISTOWN TOWN, NJ"
   2,"3 SPEEDWELL AVE P 1 MORRISTOWN TOWN, NJ"
   2,"30 CATTANO AVE MORRISTOWN TOWN, NJ"
  18,"30 LAFAYETTE AVE MORRISTOWN TOWN, NJ"
