latitude,longitude,price,square feet,value,tab
40.066136,-105.183653,315000,2875,109.565217391304,June
40.126436,-105.295384,315000,2596,121.340523882897,June
40.006539,-105.223544,265000,1494,177.376171352075,June
40.067815,-105.179127,168000,965,174.093264248705,June
40.010767,-105.262966,165000,1053,156.695156695157,June
40.010311,-105.253724,160000,754,212.201591511936,June
40.017201,-105.27114,149900,645,232.403100775194,June
40.060511,-105.275635,132959,620,214.45,June
40.059169,-105.214919,127500,669,190.582959641256,June
40.011174,-105.284012,949000,2778,341.612670986321,June
40.002473,-105.28425,725000,2670,271.535580524345,June
40.021779,-105.284602,628000,1381,454.742939898624,June
40.076013,-105.199466,455000,3414,133.27475102519,June
39.966335,-105.254758,280000,1064,263.157894736842,June
40.059476,-105.208189,218500,1382,158.104196816208,June
39.986666,-105.229222,210300,948,221.835443037975,June
40.05989,-105.134936,2100000,8245,254.699818071559,June
39.988431,-105.181019,755000,3994,189.033550325488,June
40.031121,-105.254015,297000,2197,135.184342284934,June
40.04009,-105.258296,175000,880,198.863636363636,June
40.039024,-105.258569,171000,830,206.024096385542,June
40.041454,-105.252074,161732,1069,151.292797006548,June
40.039088,-105.283415,1300000,3918,331.801939765186,June
40.039074,-105.279796,685000,3111,220.18643522983,June
40.044871,-105.278113,612000,1946,314.491264131552,June
40.03334,-105.274754,601000,1713,350.846468184472,June
40.065931,-105.185447,589900,3589,164.36333240457,June
40.001919,-105.23647,442000,1648,268.203883495146,June
40.009267,-105.19957,399900,2520,158.690476190476,June
39.996711,-105.255454,349900,960,364.479166666667,June
39.986666,-105.229222,216000,948,227.848101265823,June
40.026615,-105.25242,113039,644,175.526397515528,June
40.047028,-105.245721,752000,3875,194.064516129032,June
40.046181,-105.319527,675000,3058,220.732504905167,June
40.044468,-105.286424,597500,1920,311.197916666667,June
40.051592,-105.254968,555000,2738,202.702702702703,June
39.975548,-105.264331,505000,1834,275.354416575791,June
40.046232,-105.384305,489000,4025,121.490683229814,June
40.03624,-105.240264,449000,2357,190.496393720832,June
40.031532,-105.272018,400000,2100,190.47619047619,June
40.006212,-105.242496,225000,1056,213.068181818182,June
39.996704,-105.229826,192500,1112,173.111510791367,June
40.000114,-105.221682,173000,888,194.81981981982,June
40.059654,-105.212268,169950,800,212.4375,June
40.010313,-105.253939,163000,663,245.852187028658,June
40.064223,-105.195595,156200,961,162.539021852237,June
39.995697,-105.274164,1891000,6228,303.628773281952,June
39.982555,-105.194023,1250000,4576,273.164335664336,June
40.004369,-105.279911,1180000,4277,275.89431844751,June
40.000331,-105.28111,650000,2800,232.142857142857,June
39.995627,-105.239205,645000,2016,319.940476190476,June
40.068247,-105.187362,625000,4101,152.401853206535,June
40.0212,-105.286203,607500,1796,338.251670378619,June
40.010086,-105.230813,550000,3006,182.967398536261,June
40.014703,-105.248247,529900,1613,328.518288902666,June
40.057879,-105.218844,518000,3816,135.744234800839,June
40.017975,-105.273757,489000,1395,350.537634408602,June
40.014703,-105.248247,469900,1434,327.68479776848,June
40.012401,-105.235862,458000,2812,162.873399715505,June
39.996562,-105.255598,436000,1382,315.48480463097,June
39.994635,-105.229932,432000,2244,192.513368983957,June
40.043687,-105.273087,425000,2415,175.983436853002,June
39.988054,-105.224269,420000,2039,205.983325159392,June
40.002023,-105.236513,410000,2001,204.897551224388,June
39.991166,-105.253976,389000,1040,374.038461538462,June
40.033925,-105.240756,355000,1441,246.356696738376,June
40.007199,-105.25742,352000,1280,275,June
40.02179,-105.404329,350000,1978,176.946410515672,June
40.000799,-105.245172,336000,1080,311.111111111111,June
40.055744,-105.203007,323000,1260,256.349206349206,June
40.010315,-105.254439,316000,1219,259.228876127974,June
40.062208,-105.195326,305500,2037,149.975454099165,June
40.007199,-105.257085,265000,814,325.552825552826,June
40.03112,-105.253962,255000,1402,181.88302425107,June
40.014703,-105.248247,254900,897,284.169453734671,June
39.998296,-105.229335,243000,954,254.716981132075,June
40.035201,-105.24657,198900,1178,168.845500848896,June
39.999459,-105.229483,179000,880,203.409090909091,June
40.019196,-105.263066,169250,801,211.298377028714,June
40.059169,-105.214652,156500,887,176.437429537768,June
40.049747,-105.220826,143350,737,194.504748982361,June
40.062771,-105.195397,140843,738,190.844173441734,June
40.033754,-105.253133,140000,1044,134.099616858238,June
