Name,Latitude,Longitude,Lines
Moor Park ,51.62970512,-0.432070848,Metropolitan 
Moorgate ,51.51817,-0.08859,"Northern,Circle,Hammersmith & City,Metropolitan,Northern City,Thameslink "
Morden ,51.40222413,-0.194599126,Northern
Mornington Crescent ,51.53427,-0.13901,Northern
Neasden ,51.55427,-0.25042,Jubilee 
New Cross ,51.477363,-0.0338817,East London
New Cross Gate ,51.47585,-0.04049,East London
Newbury Park ,51.57565,+0.08927 ,Central
North Acton ,51.5237,-0.26019,Central
North Ealing ,51.51807,-0.28838,Piccadilly
North Greenwich ,51.50056,+0.00360 ,Jubilee 
North Harrow ,51.58503612,-0.362595264,Metropolitan
North Wembley ,51.56258091,-0.304072648,Bakerloo
Northfields ,51.499856,-0.313188,Piccadilly
Northolt ,51.548054,-0.368257,Central
Northolt ,51.548467,-0.36968,Central
Northwick Park ,51.57850117,-0.317857023,Metropolitan
Northwood ,51.61098984,-0.423584422,Metropolitan 
Northwood Hills ,51.60043795,-0.408812575,Metropolitan
Notting Hill Gate ,51.509028,-0.1962847,"Central,Circle,District "
Oakwood ,51.64739,-0.13192,Piccadilly
Old Street ,51.52618,-0.08751,"Northern,Northern City "
Osterley ,51.481569,-0.35196,Piccadilly
Oval ,51.48214,-0.11284,Northern
Oxford Circus ,51.51517,-0.14119,"Bakerloo,Central,Victoria "
Paddington ,51.5151846554,-0.17553880792,"Circle,District "
Paddington (H&C Line) ,51.519096707,-0.176968859,Hammersmith and City 
Park Royal ,51.52671,-0.28417,Piccadilly
Parsons Green ,51.47488,-0.20205,District
Perivale ,51.536673,-0.32391,Central
Piccadilly Circus ,51.51022,-0.13392,"Piccadilly,Bakerloo "
Pimlico ,51.489081,-0.133037,Victoria
Pinner ,51.59270271,-0.380539158,Metropolitan
Plaistow ,51.53122,0.01659,"District,Hammersmith & City"
Preston Road ,51.57229051,-0.295813875,Metropolitan
Putney Bridge ,51.46868,-0.2088141,District
Queen's Park ,51.534179,-0.205257721,Bakerloo
Queensbury ,51.59437,-0.28655,Jubilee
Queensway ,51.510484,-0.18705,Central
Ravenscourt Park ,51.49419,-0.2356,District
Rayners Lane ,51.57534,-0.3724,"Metropolitan,Piccadilly "
Redbridge ,51.57618,0.04542,Central
Regent's Park ,51.52344,-0.14713,Bakerloo
Richmond ,51.46343247,-0.302033247,District
Richmond ,51.4632474,-0.300618047,District
Rickmansworth ,51.64027898,-0.473521454,Metropolitan 
Roding Valley ,51.61691,+0.04264 ,Central
Rotherhithe ,51.50089,-0.05211,East London
Royal Oak ,51.519383,-0.187785,Hammersmith & City
Ruislip ,51.57146,-0.42157,"Metropolitan,Piccadilly"
Ruislip Gardens ,51.560711,-0.410587,Central
Ruislip Manor ,51.57349,-0.41185,"Metropolitan,Piccadilly"
Russell Square ,51.523243,-0.124336,Piccadilly
St.James's Park ,51.49971,-0.13394,"Circle,District"
Seven Sisters ,51.58318,-0.07495,Victoria
Shadwell ,51.51115,-0.05693,East London
Shepherd's Bush ,51.50474,-0.21881,Central
Shepherd's Bush Market ,51.506063,-0.226231,Hammersmith & City
Sloane Square ,51.49258474,-0.156090904,"Central,District"
Snaresbrook ,51.58002,+0.02133 ,Central
South Acton ,51.49960784,-0.270187631,London Overground
South Ealing ,51.500801,-0.307856,Piccadilly
South Harrow ,51.56461,-0.3521,Piccadilly
South Kensington ,51.494066,-0.172791,"Circle,District,Piccadilly "
South Kenton ,51.57044666,-0.308566354,Bakerloo
South Ruislip ,51.556795,-0.398708,Central
South Wimbledon ,51.41543048,-0.192262754,Northern
South Woodford ,51.59088,+0.02726 ,Central
Southfields ,51.444941,-0.206466,District
Southgate ,51.6324,-0.12765,Piccadilly
Southwark ,51.50384,-0.10478,Jubilee
St.John's Wood ,51.53472,-0.17428,Jubilee 
St.Paul's ,51.515285,-0.097598,Central
Stamford Brook ,51.494935,-0.24619,District
Stanmore ,51.61895,-0.30241,Jubilee 
Stepney Green ,51.521884,-0.046546,"District,Hammersmith & City"
Stockwell ,51.47224,-0.1227,"Northern,Victoria"
Stonebridge Park ,51.54402388,-0.275978856,Bakerloo
Stratford ,51.541208,-0.003776,"Central,Jubilee,London Overground "
Stratford ,51.541146,-0.002675,"Central,Jubilee,London Overground"
Sudbury Hill ,51.556998,-0.335949,Piccadilly
Sudbury Town ,51.55093,-0.31598,Piccadilly
Surrey Quays ,51.49365,-0.04816,"East London,Jubilee"
Swiss Cottage ,51.54333,-0.17436,Jubilee
Temple ,51.51114,-0.11341,"Circle,District"
Theydon Bois ,51.67246,+0.10354 ,Central
Tooting Bec ,51.43578971,-0.159635693,Northern
Tooting Broadway ,51.42780008,-0.167910811,Northern
Tottenham Court Road ,51.5164,-0.13027,"Central,Northern "
Tottenham Court Road ,51.51672074,-0.13093911,"Central,Northern "
Tottenham Hale ,51.588878,-0.059808,Victoria
Totteridge & Whetstone ,51.63022,-0.17917,Northern
Tower Hill ,51.50991,-0.076813,"Circle,District "
Tufnell Park ,51.55663,-0.13813,Northern
Turnham Green ,51.495143,-0.25406,District
Turnpike Lane ,51.59031,-0.10308,Piccadilly 
Upminster ,51.55925,+0.25177 ,District
Upminster Bridge ,51.55847,+0.23509 ,District
Upney ,51.53824,+0.09998 ,District
Upton Park ,51.53514,0.03373,"District,Hammersmith & City"
Uxbridge ,51.54687,-0.47725,"Piccadilly,Metropolitan "
Vauxhall ,51.48603,-0.12369,Victoria 
Victoria ,51.49662869,-0.14400853,"Circle,District,Victoria "
Walthamstow Central ,51.58293,-0.01996,Victoria 
Wanstead ,51.57565,0.02864,Central
Wapping ,51.50451,-0.05607,East London
Warren Street ,51.5245,-0.1381,"Northern,Victoria "
Warwick Avenue ,51.52329728,-0.183777837,Bakerloo
Waterloo ,51.50322,-0.11328,"Bakerloo,Northern,Waterloo & City "
Watford ,51.65741058,-0.41745306,Metropolitan 
Wembley Central ,51.55122817,-0.29577538,Bakerloo
Wembley Park ,51.56355598,-0.279770242,"Jubilee,Metropolitan "
West Acton ,51.51818,-0.28064,Central
West Brompton ,51.48681,-0.19475,District
West Finchley ,51.60922281219,-0.188711152265457,Northern
West Ham ,51.527917,+0.004141 ,"District,Hammersmith & City,Jubilee"
West Hampstead ,51.54678865,-0.191016868,Jubilee
West Hampstead ,51.54657,-0.19055,Jubilee
West Hampstead ,51.54755518,-0.190999685,London Overground
West Hampstead ,51.54716,-0.19275,London Overground
West Harrow ,51.5795432,-0.353144584,Metropolitan
West Kensington ,51.49085,-0.20532,District
West Ruislip ,51.569324,-0.43674,Central
Westbourne Park ,51.520995,-0.201778,Hammersmith & City
Westminster ,51.50121,-0.12489,"Circle,District,Jubilee "
White City ,51.512206,-0.224226,Central
Whitechapel ,51.51946,-0.05951,"District,East London,Hammersmith & City"
Willesden Green ,51.54919,-0.22106,Jubilee
Willesden Junction ,51.53181,-0.24235,London Overground
Willesden Junction ,51.53032031,-0.229378995,Bakerloo
Wimbledon ,51.422,-0.20544,District 
Wimbledon Park ,51.43391,-0.19864,District
Wood Green ,51.59709,-0.10939,Piccadilly 
